"","Percentage_positive"
"FCRL3",3.8
"FCRL2",18.4
"FCRL1",9.8
"CD1D",1
"AL138899.1",0.1
"SPTA1",0.4
"MNDA",6.7
"PYHIN1",5.8
"IFI16",16.7
"AIM2",2.2
"DUSP23",1.1
"VSIG8",0.1
"CFAP45",0.5
"TAGLN2",23.5
"LINC01133",0.2
"PIGM",0.4
"ATP1A4",0
"AL121987.2",0.4
"PEA15",2.7
"DCAF8",9.1
"AL139011.1",0.6
"PEX19",1.2
"COPA",15.5
"NCSTN",1.7
"VANGL2",0.7
"SLAMF6",0.6
"CD84",6
"CD48",9.7
"SLAMF7",2
"LY9",45.8
"F11R",4
"TSTD1",15.4
"USF1",4.3
"ARHGAP30",3.8
"PFDN2",9.3
"NIT1",0.9
"DEDD",2.6
"UFC1",11.1
"USP21",1.2
"PPOX",1
"B4GALT3",1.4
"ADAMTS4",0.1
"NDUFS2",2.8
"TOMM40L",0.2
"MPZ",0.1
"SDHC",3.5
"AL592295.5",0.7
"FCGR2A",2.4
"HSPA6",1
"FCGR2B",5.7
"FCRLA",7.9
"DUSP12",2.8
"ATF6",5.1
"UHMK1",12.7
"AL596325.1",0.1
"UAP1",3.2
"AL596325.2",0.4
"DDR2",0.2
"HSD17B7",2.6
"RGS5",0.1
"AL592435.1",0.3
"NUF2",0.4
"MGST3",3.2
"ALDH9A1",2.3
"TMCO1",5.7
"TMCO1-AS1",0.2
"POGK",4
"TADA1",1.3
"AL451050.2",0.1
"POU2F1",12.9
"AL136984.1",0.7
"CD247",0.1
"CREG1",1.1
"RCSD1",24.8
"MPZL1",1.1
"MPC2",7.5
"DCAF6",2.8
"TIPRL",3.7
"SFT2D2",14.3
"TBX19",0.4
"ATP1B1",9.4
"NME7",1.7
"BLZF1",2.2
"SLC19A2",0.8
"Z99572.1",0.7
"C1orf112",0.9
"SELL",1.5
"METTL18",0.5
"SCYL3",0.5
"KIFAP3",3.1
"GORAB-AS1",0.1
"GORAB",2.2
"BX284613.2",0.4
"FMO4",0.4
"PRRC2C",55
"VAMP4",2.2
"EEF1AKNMT",1
"DNM3",0.2
"PIGC",3.3
"SUCO",13.6
"AL645568.1",1.7
"PRDX6",10.6
"KLHL20",3.3
"CENPL",1.9
"DARS2",0.8
"GAS5",22
"ZBTB37",4.4
"RC3H1",17.6
"RC3H1-IT1",0.8
"LINC02776",0.4
"RABGAP1L-DT",0.1
"RABGAP1L",9.3
"GPR52",0.2
"RABGAP1L-IT1",0.6
"Z99127.4",8.2
"CACYBP",7.1
"MRPS14",1.6
"KIAA0040",2.2
"TNR",0.2
"LINC02803",0.1
"COP1",7.1
"AL591043.2",0.4
"RASAL2",0.3
"C1orf220",3
"AL449106.1",1.7
"RALGPS2",60.6
"FAM20B",2
"TOR3A",10
"ABL2",3.4
"SOAT1",4.7
"AXDND1",0.2
"TOR1AIP2",5.7
"AL353708.3",1.3
"TOR1AIP1",8.7
"AL353708.1",0.3
"CEP350",11.1
"QSOX1",1.6
"ACBD6",7
"XPR1",3.6
"KIAA1614",0.1
"STX6",1.5
"MR1",1.5
"IER5",12
"GLUL",11.1
"RNASEL",0.5
"RGS16",3.1
"LINC01686",0.2
"NPL",0.1
"AL355999.1",0.3
"DHX9",22.6
"LAMC1",1.5
"SMG7-AS1",0.2
"SMG7",7.6
"NCF2",0.4
"ARPC5",7.3
"RGL1",0.1
"APOBEC4",0
"COLGALT2",0.1
"TSEN15",1.8
"EDEM3",1.7
"NIBAN1",0.1
"RNF2",2.4
"TRMT1L",1.3
"SWT1",1.4
"IVNS1ABP",22.1
"AL078644.2",0.6
"TPR",24.5
"ODR4",5.3
"OCLM",0.1
"AL096803.2",0.6
"PTGS2",0.1
"PACERR",0
"ERVMER61-1",0.1
"AL390957.1",0.3
"AL136987.1",0.9
"RGS1",24.1
"RGS13",1.1
"AL136454.1",0.6
"RGS2",32
"UCHL5",2.1
"RO60",15.9
"GLRX2",1.2
"CDC73",20.2
"B3GALT2",0.3
"LINC01031",0.2
"ASPM",0.6
"ZBTB41",2.6
"DENND1B",3.2
"NEK7",3.2
"AL157402.1",1.3
"PTPRC",54.1
"MIR181A1HG",0.8
"ZNF281",3.5
"KIF14",0.2
"DDX59",3.6
"DDX59-AS1",0
"CAMSAP2",0.3
"KIF21B",2.3
"TMEM9",0.9
"TNNT2",0
"PHLDA3",0
"CSRP1",1.2
"NAV1",1.1
"IPO9-AS1",0.2
"IPO9",5.5
"TIMM17A",8.2
"RNPEP",1.7
"ELF3-AS1",0.4
"ELF3",0.2
"ARL8A",4.4
"PTPN7",9.8
"PPP1R12B",3
"KDM5B",29.9
"PCAT6",0.5
"RABIF",1.2
"KLHL12",1.4
"ADIPOR1",5.4
"CYB5R1",1.7
"TMEM183A",7
"PPFIA4",0
"CHIT1",0.4
"LINC01353",1.6
"LINC01136",1.4
"BTG2",60.2
"ATP2B4",1.8
"LAX1",4.2
"ZC3H11A",2.4
"ZBED6",2
"SNRPE",10.5
"ETNK2",0.7
"REN",0
"PLEKHA6",0.1
"PPP1R15B",20.6
"PIK3C2B",2.9
"MDM4",60.2
"AL512306.3",0.3
"AL512306.2",0.4
"NFASC",0.1
"CNTN2",0.2
"TMEM81",0.1
"RBBP5",3.1
"DSTYK",3
"TMCC2",0.1
