"","Percentage_positive"
"NUP214",13.3
"AL157938.2",0.4
"AL157938.3",5.3
"FAM78A",1.7
"PLPP7",0.1
"PRRC2B",23
"AL358781.1",0.9
"POMT1",1.2
"AL358781.2",0.2
"UCK1",1
"RAPGEF1",21.2
"MED27",4.1
"NTNG2",0.5
"SETX",17.7
"TTF1",11.9
"DDX31",3
"GTF3C4",5
"AL445645.1",0
"SPACA9",0.3
"TSC1",5.6
"GFI1B",0.1
"GTF3C5",2.9
"RALGDS",10.9
"SURF6",5.7
"MED22",1.5
"RPL7A",67.1
"SURF1",5.3
"SURF2",2
"SURF4",8.4
"REXO4",8
"ADAMTS13",0.1
"CACFD1",1
"SLC2A6",3.5
"SARDH",0.1
"VAV2",7.3
"BRD3OS",0.5
"BRD3",2.9
"WDR5",1.3
"RXRA",0.8
"FCN1",0.3
"PPP1R26-AS1",0
"PPP1R26",0.2
"MRPS2",1.8
"CAMSAP1",3.8
"AL355574.1",0.1
"UBAC1",2.2
"NACC2",0.1
"TMEM250",0.3
"QSOX2",8.8
"CCDC187",0.4
"CR392000.2",0.2
"GPSM1",0.7
"DNLZ",2.4
"SNAPC4",1.3
"ENTR1",4.1
"PMPCA",6.4
"INPP5E",1.3
"SEC16A",6.1
"C9orf163",0.2
"NOTCH1",1.7
"AGPAT2",1.9
"DIPK1B",1.4
"SNHG7",22.2
"LCN10",0.3
"LCN6",0.2
"LCN8",0.3
"LCN15",0.1
"TMEM141",1.4
"CCDC183",0.1
"RABL6",5.4
"AJM1",0.1
"PHPT1",4.3
"MAMDC4",0.2
"EDF1",14.5
"TRAF2",1.5
"AL807752.5",0.1
"FBXW5",3.7
"LCN12",0
"PAXX",5.4
"ABCA2",0.8
"C9orf139",0
"UAP1L1",1.9
"MAN1B1-DT",1.3
"MAN1B1",1.6
"DPP7",9.4
"ANAPC2",2.1
"SSNA1",5.9
"TPRN",0.3
"TMEM203",1.5
"NDOR1",0.5
"BX255925.3",1.1
"TUBB4B",18
"FAM166A",0
"NELFB",1.9
"TOR4A",0.2
"NRARP",2.3
"EXD3",1
"NOXA1",0.3
"NSMF",4
"PNPLA7",1.6
"MRPL41",8
"DPH7",3.9
"ZMYND19",1.3
"ARRDC1",3.6
"ARRDC1-AS1",1.1
"EHMT1",32.6
"CACNA1B",0.2
"ZMYND11",4.7
"DIP2C",2.5
"AL358216.1",0.8
"LARP4B",5
"AL359878.1",0.2
"GTPBP4",15.8
"IDI2-AS1",0.2
"IDI1",21.8
"WDR37",2.9
"ADARB2",0.2
"PFKP",3.4
"PITRM1",2
"LINC02669",0
"AL450322.2",0.1
"KLF6",86.9
"AL513303.1",1
"LINC02660",0.3
"NET1",5.3
"TASOR2",10.2
"GDI2",11.4
"AL596094.1",1.2
"ANKRD16",0.7
"FBH1",3.3
"IL15RA",0.4
"IL2RA",3.7
"AL137186.1",0.2
"RBM17",21.6
"PFKFB3",3.9
"LINC02649",0.3
"LINC02656",0.3
"AL392086.3",0.3
"SFMBT2",5.7
"LINC02642",0.3
"ITIH5",0.2
"KIN",9.1
"ATP5F1C",6.3
"TAF3",5.5
"CELF2-DT",0.2
"CELF2",31.5
"USP6NL",13.1
"AL512631.1",0.3
"ECHDC3",0.1
"PROSER2",0
"UPF2",25.3
"DHTKD1",4.4
"SEC61A2",2.5
"NUDT5",2.5
"CDC123",6.5
"AL512770.1",0.5
"CAMK1D",11.4
"AL731559.1",0.8
"CCDC3",0.1
"OPTN",9.9
"MCM10",0.3
"PHYH",6.9
"SEPHS1",1.6
"BEND7",2.8
"PRPF18",4.3
"AL157392.3",1.3
"FRMD4A",0.2
"AL139405.1",0
"FAM107B",24.2
"CDNF",0.1
"HSPA14",2
"HSPA14.1",3.2
"AC069544.1",0.1
"SUV39H2",0.4
"DCLRE1C",5
"ACBD7",0.5
"RPP38-DT",2.4
"RPP38",2.1
"NMT2",9.7
"FAM171A1",0.5
"MINDY3",2.4
"PTER",1.1
"RSU1",2.5
"CUBN",0.9
"TRDMT1",4.9
"VIM-AS1",0.4
"VIM",34.3
"HACD1",0.6
"STAM-AS1",1.5
"STAM",6.5
"CACNB2",0.4
"AL450384.2",0.9
"NSUN6",8.3
"ARL5B",9.8
"MALRD1",0.1
"PLXDC2",0.2
"MLLT10",6.3
"DNAJC1",6.4
"AL359697.1",0.2
"COMMD3",3.2
"BMI1",6.3
"AL158211.3",0.3
"PIP4K2A",7.6
"MSRB2",1.2
"OTUD1",11.6
"AL512603.2",0.3
"KIAA1217",6.1
"ARHGAP21",5.7
"PRTFDC1",0.1
"ENKUR",0.1
"THNSL1",0.3
"MYO3A",0.8
"APBB1IP",14.6
"PDSS1",0.6
"AL390961.2",0.1
"ABI1",27.7
"ANKRD26",3.4
"YME1L1",48.9
"MASTL",6.2
"ACBD5",5.6
"RAB18",9
"LINC02680",0.3
"ARMC4",0
"MPP7",1
"MPP7-DT",0.2
"WAC-AS1",3.8
"WAC",28.1
"BAMBI",1.9
"SVIL",1.3
"MTPAP",4.5
"MAP3K8",18.4
"ZNF438",0.5
"AL359546.1",0.1
"ZEB1-AS1",1
"ZEB1",21.7
"ARHGAP12",6.7
"KIF5B",19.2
"EPC1",42.1
"AL391839.2",0.1
"AL391839.3",0.5
"CCDC7",2.7
"ITGB1",4
"ITGB1-DT",0.1
"PARD3",0.9
"CUL2",8
"AL392046.1",0.2
"CREM",9.1
"CCNY",8.5
"AL117336.2",0.5
"AL603824.1",0.2
"AL121749.1",0.2
"FZD8",0.3
"AL132657.1",0.2
"ZNF248",1.5
"AL135791.1",0.7
"ZNF25",0.6
"ZNF33A",7.1
"ZNF37A",7.8
"AL117339.4",0.2
"ZNF33B",1.5
"BMS1",10
"AC010864.1",0.2
"CSGALNACT2",10.2
"HNRNPF",7.5
"AL450326.1",0.2
"ZNF487",2.6
"AL450326.3",0
"ZNF485",0.3
"ZNF32",2.3
"CXCL12",0
"TMEM72-AS1",0.1
"AL353801.3",0.1
"RASSF4",0.7
"C10orf25",0.2
"ZNF22",9.3
"OR13A1",0.3
"ALOX5",19.2
"MARCH8",11.4
"ZFAND4",2
"WASHC2C",5.2
"AGAP4",1.3
"TIMM23",2.4
"NCOA4",2.4
"AGAP9",1.5
"MAPK8",12.4
"ARHGAP22",0.2
"WDFY4",12
"VSTM4",0.6
"TMEM273",0.8
"C10orf71",0.3
"ERCC6",3.6
"PARG",4.9
"TIMM23B",3.1
"TIMM23B-AGAP6",0.2
"AL442003.1",0.8
"WASHC2A",4.3
"SGMS1",4.5
"SGMS1-AS1",2
"AL589794.2",0
"ASAH2B",0.2
"CSTF2T",1.2
"PRKG1-AS1",0.2
"ZWINT",0.5
"AC010996.1",0.3
"IPMK",4.1
"UBE2D1",4.1
"TFAM",10
"SLC16A9",0
"CCDC6",8.6
"ANK3",0.7
"CDK1",0.2
"RHOBTB1",0.3
"ARID5B",40.5
"RTKN2",0.5
"ADO",1.6
"EGR2",2.6
"NRBF2",3.3
"JMJD1C",63.5
"JMJD1C-AS1",0.1
"REEP3",2.4
"CTNNA3",0.8
"AL133551.1",0.4
"SIRT1",10.3
"HERC4",9.7
"PBLD",0.6
"HNRNPH3",26.4
"RUFY2",5
"DNA2",1.1
"SLC25A16",3.6
"TET1",0.7
"CCAR1",14.5
"DDX50",6.3
"DDX21",59.7
"KIF1BP",0.7
"SRGN",21.1
"VPS26A",10.6
"SUPV3L1",9.6
"HK1",2.8
"AC016821.1",0
"AL450311.1",1.3
"FAM241B",0.4
"H2AFY2",0.1
"AIFM2",0.6
"TYSND1",1.1
"SAR1A",16.8
"PPA1",2.9
"NPFFR1",0.1
"EIF4EBP2",3.8
"PALD1",0.9
"ADAMTS14",0.1
"SGPL1",2.3
"PCBD1",0.7
"UNC5B",0
"SLC29A3",0.5
"CDH23",0.2
"VSIR",2.4
"PSAP",27.7
"SPOCK2",11.8
"ASCC1",2.9
"ANAPC16",16.7
"DDIT4",4
"DDIT4-AS1",0.1
"DNAJB12",6.8
"MICU1",3.9
"MCU",0.9
"P4HA1",3.7
"AL731563.3",0.6
"NUDT13",0.2
"AC016394.2",0.6
"ECD",11.3
"FAM149B1",0.6
"DNAJC9",3.6
"MRPS16",5.4
"AC016394.1",0.2
"CFAP70",0.9
"ANXA7",7
"MSS51",0.1
"PPP3CB",3.8
"PPP3CB-AS1",1.3
"USP54",0.5
"AC073389.1",3.3
"SYNPO2L",0.5
"AC073389.2",0.3
"AGAP5",0.5
"AC022400.4",0.2
"SEC24C",3.4
"FUT11",0.9
"CHCHD1",1.5
"ZSWIM8",4.1
"ZSWIM8-AS1",0.2
"NDST2",2.9
"CAMK2G",2
"PLAU",0.1
"VCL",2.9
"AL596247.1",0
"AP3M1",3.8
"ADK",7.2
"KAT6B",28.8
"SAMD8",11.6
"VDAC2",16.9
"COMTD1",0.6
"ZNF503",0
"LRMDA",0.1
"AL589863.1",0.1
"DLG5",0.2
"POLR3A",2.7
"RPS24",73.4
"ZMIZ1",3.3
"PPIF",4.2
"ZCCHC24",0.4
"EIF5AL1",0.4
"NUTM2B-AS1",12.2
"AL135925.1",2.1
"AL512662.2",0
"SFTPD-AS1",0.1
"TMEM254-AS1",0.2
"TMEM254",0.6
"ANXA11",18.7
"PRXL2A",1.3
"TSPAN14",6.9
"NRG3",0
"AL603756.1",0.2
"GHITM",8.5
"CDHR1",0.1
"CCSER2",7.5
"WAPL",10.1
"AL731569.1",0.1
"LDB3",0.1
"AC067750.1",0.2
"BMPR1A",0.3
"ADIRF-AS1",0.6
"GLUD1",6.6
"SHLD2",7.4
"AL136982.3",0.4
"NUTM2A-AS1",12.7
"AL157893.2",0.2
"LINC00863",1.8
"ATAD1",4.1
"KLLN",0.2
"PTEN",15.7
"AC063965.2",0.3
"RNLS",0.3
"STAMBPL1",1.9
"FAS",0.2
"LIPA",1.4
"IFIT2",2.7
"IFIT3",0.7
"IFIT5",2.4
"PANK1",0.1
"AL157400.3",0
"KIF20B",11.3
"LINC00865",0.7
"LINC01374",0.6
"RPP30",3.3
"PCGF5",11.2
"HECTD2",1.9
"TNKS2-AS1",0.4
"TNKS2",11.5
"FGFBP3",0.1
"BTAF1",18
"CPEB3",0.8
"MARCH5",6.2
"IDE",1.7
"KIF11",0.3
"HHEX",4.4
"EXOC6",5.4
"CEP55",0.2
"FRA10AC1",4.5
"SLC35G1",0
"PLCE1",0.9
"NOC3L",4.3
"TBC1D12",1.5
"HELLS",6.9
"AL138759.1",0
"CYP2C8",0.2
"AL157834.1",0.4
"AL157834.2",0.2
"PDLIM1",14.4
"SORBS1",0.2
"ALDH18A1",0.8
"TCTN3",4.6
"ENTPD1",10.4
"ENTPD1-AS1",2.7
"CC2D2B",0.6
"CCNJ",1.7
"ZNF518A",6.3
"BLNK",10.7
"TLL2",0.1
"TM9SF3",17.3
"PIK3AP1",10.7
"LCOR",17.6
"ARHGAP19",1.6
"FRAT1",1.9
"FRAT2",2.6
"RRP12",5.3
"AL355490.2",0.1
"PGAM1",3.3
"EXOSC1",3.2
"ZDHHC16",0.3
"MMS19",1.5
"PI4K2A",10.8
"ZFYVE27",6.9
"R3HCC1L",5.9
"PYROXD2",0.6
"HPS1",5
"GOT1",0.6
"SLC25A28",2.7
"AL353719.1",0.3
"ENTPD7",0.6
"CUTC",1.7
"COX15",1.1
"ABCC2",0.6
"DNMBP",12.9
"DNMBP-AS1",0.2
"ERLIN1",0.5
"CHUK",3.4
"CWF19L1",4.5
"BLOC1S2",7.6
"SCD",0.4
"OLMALINC",1.4
"SEC31B",2.1
"NDUFB8",10
"HIF1AN",4.9
"SLF2",4
"MRPL43",3.8
"TWNK",0.8
"LZTS2",1.1
"PDZD7",0
"SFXN3",0.6
"BTRC",2.7
"POLL",1.4
"FBXW4",5
"NPM3",0.7
"OGA",41.5
"ARMH3",2.1
"HPS6",0.6
"LDB1",3.3
"PPRC1",3.4
"NOLC1",10.8
"GBF1",4.5
"NFKB2",21.3
"PSD",0.3
"FBXL15",2.2
"CUEDC2",3
"RPARP-AS1",1.1
"C10orf95",0.4
"MFSD13A",0.2
"ACTR1A",2.9
"SUFU",0.4
"TRIM8",13.8
"AL391121.1",1.5
"ARL3",1.2
"SFXN2",0.7
"WBP1L",1.4
"AL358790.1",0.1
"BORCS7",4.1
"AS3MT",0.2
"CNNM2",1.2
"NT5C2",5.4
"PCGF6",0.5
"TAF5",0.7
"ATP5MD",8.4
"PDCD11",3.6
"NEURL1",0.1
"AL121929.3",1
"SH3PXD2A",5.6
"STN1",0.8
"SLK",4.6
"SFR1",1.7
"GSTO1",2.4
"GSTO2",0.2
"ITPRIP",6.7
"LINC01435",0.7
"XPNPEP1",5
"ADD3",12.6
"MXI1",12
"SMNDC1",12.5
"AL355512.1",0.5
"DUSP5",21.9
"SMC3",9.1
"RBM20",0.5
"AL136368.1",0.1
"PDCD4-AS1",0.9
"PDCD4",41.2
"BBIP1",4.1
"AL158163.2",0.5
"AL158163.1",1.4
"SHOC2",23.7
"GPAM",2.1
"ACSL5",1.3
"ZDHHC6",5.2
"VTI1A",10.9
"AL158212.3",0.6
"TCF7L2",1.2
"AL158212.2",0.2
"CASP7",2.2
"DCLRE1A",0.2
"NHLRC2",3.5
"ADRB1",0.1
"CCDC186",10.1
"ABLIM1",16.7
"FAM160B1",7.6
"TRUB1",1.1
"ATRNL1",1.3
"AC016042.1",0.2
"HSPA12A",0.9
"SHTN1",0.4
"AL391988.1",0.1
"PDZD8",5.3
"RAB11FIP2",9.8
"CASC2",0.1
"FAM204A",13.9
"CACUL1",8.2
"AL139407.1",0.5
"NANOS1",0.2
"EIF3A",31.7
"DENND10",2.3
"SFXN4",0.9
"PRDX3",1
"GRK5",5.1
"GRK5-IT1",1.9
"RGS10",7.4
"TIAL1",14.5
"BAG3",0.5
"INPP5F",4.1
"MCMBP",2.5
"SEC23IP",2
"PLPP4",0
"WDR11-AS1",1.5
"WDR11",14
"ATE1",4
"NSMCE4A",5.6
"TACC2",0
"PLEKHA1",6.3
"FAM24B",0.6
"C10orf88",0.6
"PSTK",2.3
"IKZF5",6.1
"ACADSB",1.1
"BUB3",6.5
"CHST15",3.6
"OAT",2.1
"LHPP",8.6
"FAM53B",8.6
"AL513190.1",0.3
"EEF1AKMT2",4.2
"ABRAXAS2",1.1
"AL731577.2",0.1
"ZRANB1",8.6
"AL731577.1",0.3
"CTBP2",2.3
"EDRF1",10.5
"UROS",2.3
"BCCIP",8.1
"DHX32",1.1
"ADAM12",1
"PTPRE",7.5
"MKI67",0.7
"MGMT",5.3
"LINC02666",0.1
"AL354950.1",0.1
"C10orf143",0.5
"GLRX3",3.6
"PPP2R2D",8.8
"BNIP3",1.9
"AL162274.1",0.1
"STK32C",1
"LRRC27",1.5
"PWWP2B",5.3
"AL451069.2",1.4
"AL451069.3",0.1
"C10orf91",0.3
"AL451069.1",0.2
"INPP5A",7.9
"CFAP46",0
"VENTX",0.1
"ADAM8",2.5
"TUBGCP2",8.7
"AL360181.2",0.4
"ZNF511",4.3
"FUOM",1.5
"ECHS1",2.9
"PAOX",0.7
"MTG1",5.5
"SCART1",0.4
"CYP2E1",0.2
"AL731769.2",0.2
"LINC01001",1
"BET1L",1.6
"RIC8A",3.2
"SIRT3",1.1
"PSMD13",7.2
"NLRP6",0.3
"AC136475.3",7.9
"PGGHG",17.2
"IFITM2",9.4
"IFITM1",3.9
"AC136475.5",0.2
"SIGIRR",5
"ANO9",2.5
"PTDSS2",0.7
"AC138230.1",0.3
"RNH1",11.4
"AC137894.3",0.8
"HRAS",2.6
"LRRC56",0.6
"LMNTD2",0.4
"AP006284.1",0.1
"RASSF7",1.1
"PHRF1",5.4
"IRF7",4.5
"DRD4",0.1
"DEAF1",3.2
"AC131934.1",0.1
"EPS8L2",1.1
"TMEM80",1.8
"TALDO1",4.7
"GATD1",1.3
"AP006621.3",0.5
"SLC25A22",0.7
"PANO1",0.6
"PIDD1",1.6
"RPLP2",73.9
"PNPLA2",10.5
"CRACR2B",0.8
"CD151",0.7
"POLR2L",7.9
"TSPAN4",0.1
"AP006623.1",0.3
"CHID1",1.5
"AP2A2",5.1
"MUC5AC",0
"TOLLIP",2.7
"TOLLIP-AS1",0.2
"BRSK2",0.1
"MOB2",3.5
"DUSP8",13.1
"KRTAP5-AS1",0.9
"CTSD",1.8
"TNNI2",0.4
"LSP1",17.7
"TNNT3",0.2
"MRPL23",4.8
"C11orf21",0.3
"TSPAN32",0.5
"CD81-AS1",0.1
"CD81",24.1
"TSSC4",4.9
"KCNQ1",2.3
"KCNQ1OT1",9.1
"KCNQ1DN",0.1
"CDKN1C",0.6
"SLC22A18",0.4
"PHLDA2",0.2
"NAP1L4",19.2
"CARS",2.4
"OSBPL5",0.3
"ZNF195",8.5
"NUP98",13.5
"PGAP2",1.7
"RHOG",7.7
"STIM1",3.7
"AC090587.2",0.1
"RRM1",1.9
"RRM1-AS1",0
"TRIM21",0.8
"OR52I1",0.1
"TRIM68",0.2
"HBB",2.2
"HBG2",0.1
"AC104389.5",0.6
"OR51M1",0.1
"UBQLNL",0.1
"OR52H1",0.1
"TRIM34",1.8
"TRIM5",1
"TRIM22",21.2
"OR52N4",0.2
"FAM160A2",1.3
"SMPD1",0.6
"APBB1",0.9
"HPX",0
"TRIM3",0.4
"ARFIP2",2.1
"TIMM10B",4.6
"DNHD1",1.9
"RRP8",4.1
"ILK",1.5
"TAF10",12.3
"TPP1",4.5
"DCHS1",0.9
"MRPL17",1.2
"ZNF215",0.4
"AC107884.1",2.1
"PPFIBP2",20.5
"CYB5R2",0.6
"AC044810.2",0.1
"EIF3F",26.9
"RIC3",13.2
"STK33",1
"TRIM66",1
"RPL27A",57.3
"ST5",0.1
"AC091053.1",0.2
"AKIP1",0.6
"TMEM9B",5
"TMEM9B-AS1",2.2
"NRIP3",0.4
"DENND5A",3.7
"AP006259.1",0.1
"TMEM41B",7
"IPO7",9.1
"AC132192.2",2
"ZNF143",2.9
"WEE1",10.3
"SWAP70",34.5
"LINC02709",8.9
"SBF2-AS1",1.6
"SBF2",5.6
"ADM",4.7
"AMPD3",1.6
"MTRNR2L8",12.7
"RNF141",2.4
"CTR9",7.1
"EIF4G2",41.6
"AC116535.1",0
"ZBED5",10.8
"ZBED5-AS1",0.8
"KC877392.1",0.1
"USP47",20.5
"DKK3",0.2
"TEAD1",0
"ARNTL",1.8
"BTBD10",1.8
"FAR1",11.3
"FAR1-IT1",2.1
"SPON1",2.1
"RRAS2",13.5
"COPB1",11.4
"PSMA1",10.5
"PDE3B",3.5
"CYP2R1",2.9
"CALCB",0.1
"SOX6",0.1
"C11orf58",31.8
"PLEKHA7",0.4
"RPS13",67.7
"PIK3C2A",12
"NUCB2",1.3
"NCR3LG1",0.3
"KCNJ11",0.1
"KCNC1",0.2
"SERGEF",1.3
"TPH1",0.6
"SAAL1",3
"HPS5",6.1
"GTF2H1",1.6
"LDHA",9.6
"TSG101",4
"AC027544.2",0.2
"UEVLD",0.6
"SPTY2D1OS",0.4
"SPTY2D1",9
"TMEM86A",0.1
"IGSF22",0.8
"ZDHHC13",1.9
"E2F8",0.2
"NAV2",0
"NAV2-AS3",0
"HTATIP2",1.6
"PRMT3",2.4
"FANCF",2.1
"GAS2",2.2
"SVIP",8.1
"CCDC34",0.3
"LGR4",0.4
"LIN7C",4.4
"BDNF-AS",0.6
"BDNF",0
"KIF18A",1.8
"METTL15",4.1
"ARL14EP",4.8
"MPPED2",0.4
"DNAJC24",2.7
"IMMP1L",2.6
"ELP4",3.5
"AL035078.1",0.2
"RCN1",1.6
"EIF3M",17
"PRRG4",0.3
"QSER1",2.9
"TCP11L1",2.3
"LINC00294",0.8
"CSTF3",1.7
"HIPK3",10.3
"KIAA1549L",0.2
"CD59",3.1
"FBXO3",8.6
"LMO2",0.3
"AC090469.1",0.1
"CAPRIN1",12.4
"NAT10",3.5
"ABTB2",0.8
"CAT",3.8
"EHF",0.2
"APIP",2.1
"PDHX",1.1
"AL356215.1",0.1
"CD44",67.4
"AL133330.1",5.6
"SLC1A2",0.6
"FJX1",0.2
"TRIM44",19.5
"COMMD9",4.7
"PRR5L",0
"TRAF6",5.2
"RAG1",0.2
"LRRC4C",0.8
"API5",4.6
"TTC17",15.3
"AC087276.1",0.5
"AC068205.2",0.3
"HSD17B12",4.5
"AC087521.2",0.4
"ALKBH3",0.5
"ACCS",1.1
"EXT2",1.2
"CD82",8.1
"TSPAN18",0.2
"TP53I11",3
"PRDM11",0.7
"AC044839.1",0.3
"SLC35C1",0.4
"CRY2",3.1
"MAPK8IP1",1.7
"AC068385.1",0
"PEX16",2.9
"LARGE2",0.5
"PHF21A",7
"DGKZ",2.8
"MDK",10.9
"AMBRA1",1.3
"AC127035.1",1.4
"HARBI1",0.8
"ATG13",9.6
"ARHGAP1",2
"ZNF408",1.9
"CKAP5",2.9
"C11orf49",2.3
"AC090589.2",0.1
"ARFGAP2",9.3
"AC090589.3",0.1
"DDB2",4.4
"ACP2",0.2
"MADD",2.4
"SPI1",3.1
"SLC39A13",1
"PSMC3",7.1
"RAPSN",0.1
"CELF1",20.5
"AC090559.2",2.3
"NDUFS3",3.8
"PTPMT1",4.1
"KBTBD4",1.2
"FAM180B",0
"MTCH2",2.7
"AGBL2",0.3
"FNBP4",33.9
"NUP160",12.3
"PTPRJ",23.8
"LINC02750",0
"OR5AS1",0
"TNKS1BP1",0.5
"SSRP1",4.4
"SLC43A3",0.8
"TIMM10",1.8
"UBE2L6",3.2
"YPEL4",0.2
"CLP1",1.2
"ZDHHC5",4
"MED19",8.2
"TMX2",2.9
"SELENOH",14.8
"BTBD18",0.1
"CTNND1",2.1
"LPXN",4.6
"ZFP91",19
"CNTF",0.2
"AP001636.3",1.3
"FAM111B",1
"FAM111A",3.8
"DTX4",3.1
"MPEG1",4.6
"AP002358.1",0.1
"LINC02739",0.4
"AP000442.1",0.1
"OSBP",9.9
"PATL1",6.8
"AP000640.2",0.2
"STX3",3.2
"MRPL16",2.6
"MS4A4E",0.7
"MS4A7",2.6
"MS4A1",69.2
"CCDC86",1.2
"PRPF19",2.3
"AP003721.4",0.3
"TMEM109",3
"AP003721.1",0
"TMEM132A",0.6
"SLC15A3",3.5
"CD6",6.8
"CD5",2.8
"VPS37C",0.5
"VWCE",1
"DDB1",10.2
"TKFC",0.9
"CYB561A3",9.6
"TMEM138",4
"TMEM216",0.7
"CPSF7",6.4
"SDHAF2",4
"TMEM258",9.9
"FEN1",0.9
"FADS2",0.6
"FADS1",3.9
"FADS3",15.6
"BEST1",1.4
"FTH1",74.3
"INCENP",0.4
"ASRGL1",0.2
"AHNAK",33.4
"AP001363.1",0.2
"AP001363.2",0.1
"EEF1G",51.5
"TUT1",1.4
"MTA2",2.8
"EML3",2.4
"ROM1",0.2
"B3GAT3",3.9
"GANAB",3.4
"INTS5",0.2
"C11orf98",0.8
"LBHD1",0.4
"CSKMT",5.2
"UQCC3",1.3
"UBXN1",17.3
"BSCL2",1.8
"HNRNPUL2",4.6
"TTC9C",1.2
"ZBTB3",0.1
"POLR2G",3.2
"AP001160.2",0
"TAF6L",0.8
"TMEM223",1.1
"AP001160.3",0.1
"TMEM179B",2.7
"NXF1",6.9
"STX5",6.6
"AP001160.4",0.3
"AP001160.1",4.9
"WDR74",21.5
"SNHG1",10.1
"SLC3A2",25.7
"PLAAT4",3.5
"PLAAT3",0.9
"ATL3",2.5
"RTN3",1.2
"C11orf95",0.6
"SPINDOC",0.7
"MARK2",2.9
"NAA40",2.2
"COX8A",13.7
"OTUB1",10.9
"STIP1",2.6
"FERMT3",2.1
"TRPT1",2.2
"NUDT22",1.6
"DNAJC4",8.2
"VEGFB",8.9
"FKBP2",2.9
"AP001453.3",0.1
"PPP1R14B",11.8
"PPP1R14B-AS1",0
"PLCB3",0.2
"BAD",2.7
"GPR137",1.7
"ESRRA",2.4
"TRMT112",14.6
"PRDX5",9.8
"CCDC88B",5.5
"RPS6KA4",0.6
"RASGRP2",14.8
"PYGM",1.1
"SF1",73.2
"AP001462.1",1.1
"MAP4K2",2.9
"MEN1",1
"CDC42BPG",1.2
"EHD1",9.5
"ATG2A",5
"PPP2R5B",0.9
"MAJIN",0.1
"ARL2",1
"SNX15",1.1
"SAC3D1",0.2
"NAALADL1",0.3
"CDCA5",0.3
"ZFPL1",3.6
"TMEM262",0.1
"VPS51",6.7
"TM7SF2",1.8
"ZNHIT2",1.1
"FAU",71.7
"SYVN1",3
"MRPL49",1.2
"CAPN1",3.7
"AP000944.6",0.1
"POLA2",0.6
"DPF2",2.9
"TIGD3",0.4
"SLC25A45",2.1
"FRMD8",2.3
"NEAT1",75.4
"MALAT1",100
"AP000769.2",0.2
"SCYL1",1.7
"LTBP3",2.3
"SSSCA1-AS1",0.6
"ZNRD2",4.9
"FAM89B",3.5
"EHBP1L1",6.5
"KCNK7",0.3
"MAP3K11",4.2
"PCNX3",2.8
"SIPA1",5.7
"RELA",6.9
"RELA-DT",1.6
"KAT5",3.8
"RNASEH2C",4.3
"AP5B1",2.7
"CFL1",31.2
"SNX32",0
"MUS81",4.2
"FIBP",3.5
"CCDC85B",9.1
"FOSL1",0.4
"C11orf68",0.5
"DRAP1",15.7
"SART1",4.2
"EIF1AD",3.3
"BANF1",6.1
"SF3B2",24.2
"PACS1",7.2
"KLC2",1.5
"RAB1B",5.5
"AP001107.1",0.3
"CNIH2",0.5
"YIF1A",3.1
"CD248",0.1
"RIN1",0.1
"BRMS1",6.3
"AP001107.9",0.3
"SLC29A2",0.3
"MRPL11",4.5
"PELI3",0.2
"AP002748.4",1.3
"DPP3",0.8
"BBS1",0.6
"ZDHHC24",2.2
"CTSF",0.4
"CCS",3
"RBM14",11.6
"RBM4",24.1
"RBM4B",1.8
"C11orf80",3.7
"RCE1",3.7
"LRFN4",0.6
"SYT12",0.1
"KDM2A",28.6
"AP001885.3",0.1
"GRK2",9.7
"ANKRD13D",5.1
"SSH3",0.2
"RAD9A",4.8
"POLD4",8.1
"CLCF1",0.4
"PPP1CA",6.5
"TBC1D10C",10.5
"CARNS1",2.5
"RPS6KB2",4.5
"RPS6KB2-AS1",0.4
"CORO1B",5.2
"CABP4",1.2
"TMEM134",6.7
"AIP",5.4
"PITPNM1",2.3
"CDK2AP2",3.1
"GSTP1",36.2
"NDUFV1",5
"NUDT8",0.5
"ACY3",0.5
"UNC93B1",5.6
"ALDH3B1",0.3
"NDUFS8",3.7
"TCIRG1",3.7
"AP002807.1",0.3
"CHKA",5.8
"AP002992.1",0.1
"KMT5B",6.6
"C11orf24",1.5
"LRP5",0.5
"PPP6R3",13.7
"CPT1A",3.3
"MRPL21",4.6
"IGHMBP2",2.2
"TPCN2",2.6
"SMIM38",0.7
"MYEOV",0
"CCND1",57.9
"LTO1",2.2
"FADD",0.6
"PPFIA1",6.5
"AP002336.1",0.4
"AP000487.1",0.1
"CTTN",0.1
"SHANK2",0
"DHCR7",0.7
"NADSYN1",5.2
"ALG1L9P",0.3
"FAM86C1",0.2
"AP002495.1",1.1
"RNF121",1.7
"IL18BP",1.1
"NUMA1",9.7
"AP002490.1",0.2
"LRTOMT",0.2
"LAMTOR1",9.3
"ANAPC15",6.2
"INPPL1",2.8
"CLPB",2.1
"LINC01537",0
"PDE2A",0.2
"ARAP1",2.7
"ARAP1-AS1",0
"STARD10",0.9
"AP002381.2",1.9
"ATG16L2",4.3
"FCHSD2",25.7
"RELT",8.2
"FAM168A",1.4
"AP000763.3",0.2
"PLEKHB1",0.3
"RAB6A",4.6
"MRPL48",1.7
"COA4",3.2
"PAAF1",1.8
"DNAJB13",0
"AP003717.1",0.5
"UCP2",28.5
"AP003717.4",5.9
"UCP3",0.3
"C2CD3",3.7
"PPME1",1.9
"P4HA3",0.1
"PGM2L1",5
"LIPT2",0.2
"AP001372.2",0.1
"POLD3",1.8
